PID,AID,Date,Open,High,Low,Close,Adj Close,Volume,YMD,day,qty_chg_1,mv_1,cum_cost_1,return_1
P1,CRM,2019-03-14,160.949997,161.58999599999999,159.740005,160.669998,160.669998,3247200,2019-03-14,14,0.0,7866.48821443767,7000.0,1.1237840306339528
P1,CRM,2019-03-15,160.639999,162.179993,159.190002,161.509995,161.509995,6743700,2019-03-15,15,0.0,7907.614912532625,7000.0,1.1296592732189463
P1,CRM,2019-03-18,161.399994,163.330002,160.880005,161.949997,161.949997,3575500,2019-03-18,18,0.0,7929.157643536635,7000.0,1.1327368062195193
P1,CRM,2019-03-19,162.520004,164.619995,161.600006,163.929993,163.929993,4379000,2019-03-19,19,0.0,8026.099296567799,7000.0,1.1465856137953998
P1,CRM,2019-03-20,163.83999599999999,164.949997,161.509995,163.509995,163.509995,4391000,2019-03-20,20,0.0,8005.535972000587,7000.0,1.1436479960000838
P1,CRM,2019-03-21,163.169998,166.990005,162.75,166.949997,166.949997,4277800,2019-03-21,21,0.0,8173.9602922065405,7000.0,1.1677086131723629
P1,CRM,2019-03-22,165.96000700000002,166.490005,161.350006,161.5,161.5,5614300,2019-03-22,22,0.0,7907.125552037934,7000.0,1.1295893645768476
P1,CRM,2019-03-25,160.229996,161.600006,159.220001,160.880005,160.880005,3795400,2019-03-25,25,0.0,7876.770268405515,7000.0,1.1252528954865022
P1,CRM,2019-03-26,161.429993,162.070007,157.389999,159.399994,159.399994,6910300,2019-03-26,26,0.0,7804.3081458333945,7000.0,1.1149011636904849
P1,CRM,2019-03-27,159.0,159.300003,152.369995,155.119995,155.119995,8218700,2019-03-27,27,0.0,7594.757127532485,7000.0,1.084965303933212
P1,CRM,2019-03-28,155.690002,156.479996,153.509995,155.179993,155.179993,4424800,2019-03-28,28,0.0,7597.694661395465,7000.0,1.0853849516279235
P1,CRM,2019-03-29,156.869995,158.5,155.429993,158.369995,158.369995,4911700,2019-03-29,29,0.0,7753.878849167923,7000.0,1.1076969784525605
P1,TEAM,2018-05-01,55.599998,56.259997999999996,55.110001000000004,56.240002000000004,56.240002000000004,933600,2018-05-01,01,17.78093820124686,1000.0,1000.0,1.0
P1,TEAM,2018-05-02,56.369999,57.0,55.93,56.470001,56.470001,721100,2018-05-02,02,0.0,1004.0895980053485,1000.0,1.0040895980053486
P1,TEAM,2018-05-03,56.459998999999996,58.5,56.279999,58.490002000000004,58.490002000000004,1323800,2018-05-03,03,0.0,1040.0071109528053,1000.0,1.0400071109528053
P1,TEAM,2018-05-04,58.009997999999996,60.025002,57.599998,59.990002000000004,59.990002000000004,1571500,2018-05-04,04,0.0,1066.6785182546757,1000.0,1.0666785182546756
P1,TEAM,2018-05-07,60.400002,62.825001,60.185001,62.610001000000004,62.610001000000004,1613100,2018-05-07,07,0.0,1113.2645585610044,1000.0,1.1132645585610044
P1,TEAM,2018-05-08,62.139998999999996,63.59,62.110001000000004,63.18,63.18,1328200,2018-05-08,08,0.0,1123.3996755547766,1000.0,1.1233996755547766
P1,TEAM,2018-05-09,63.099998,64.489998,62.869999,64.290001,64.290001,1755300,2018-05-09,09,0.0,1143.136534739099,1000.0,1.143136534739099
P1,TEAM,2018-05-10,64.290001,65.66999799999999,64.019997,65.290001,65.290001,1725900,2018-05-10,10,0.0,1160.9174729403458,1000.0,1.1609174729403458
P1,TEAM,2018-05-11,65.43,66.0,64.714996,64.870003,64.870003,1477900,2018-05-11,11,0.0,1153.4495144576986,1000.0,1.1534495144576986
P1,TEAM,2018-05-14,64.879997,64.949997,62.330002,62.48,62.48,1550700,2018-05-14,14,0.0,1110.9530188139038,1000.0,1.1109530188139038
P1,TEAM,2018-05-15,61.880001,62.25,60.32,61.799999,61.799999,1334400,2018-05-15,15,0.0,1098.861963056118,1000.0,1.0988619630561178
P1,TEAM,2018-05-16,61.549999,62.720001,60.669998,61.77,61.77,856500,2018-05-16,16,0.0,1098.3285526910188,1000.0,1.0983285526910187
P1,TEAM,2018-05-17,61.759997999999996,62.189999,61.189999,61.639998999999996,61.639998999999996,638600,2018-05-17,17,0.0,1096.0170129439182,1000.0,1.0960170129439182
P1,TEAM,2018-05-18,61.84,63.560001,61.66,63.400002,63.400002,952600,2018-05-18,18,0.0,1127.3115175209275,1000.0,1.1273115175209276
P1,TEAM,2018-05-21,63.400002,64.0,60.82,61.490002000000004,61.490002000000004,1537200,2018-05-21,21,0.0,1093.349925556546,1000.0,1.093349925556546
P1,TEAM,2018-05-22,61.580002,62.200001,61.43,61.66,61.66,1006900,2018-05-22,22,0.0,1096.3726494888815,1000.0,1.0963726494888815
P1,TEAM,2018-05-23,60.880001,63.040001000000004,60.880001,62.939999,62.939999,1077400,2018-05-23,23,0.0,1119.1322326055392,1000.0,1.1191322326055393
P1,TEAM,2018-05-24,62.799999,64.470001,62.139998999999996,63.919998,63.919998,1122000,2018-05-24,24,0.0,1136.557534261823,1000.0,1.136557534261823
P1,TEAM,2018-05-25,63.450001,63.84,62.849998,62.939999,62.939999,707400,2018-05-25,25,0.0,1119.1322326055392,1000.0,1.1191322326055393
P1,TEAM,2018-05-29,62.310001,62.810001,60.540001000000004,62.709998999999996,62.709998999999996,2132200,2018-05-29,29,0.0,1115.0426168192525,1000.0,1.1150426168192527
P1,TEAM,2018-05-30,62.68,63.790001000000004,62.139998999999996,63.419998,63.419998,1319900,2018-05-30,30,0.0,1127.6670651611996,1000.0,1.1276670651611995
P1,TEAM,2018-05-31,63.450001,64.800003,63.040001000000004,63.790001000000004,63.790001000000004,1466500,2018-05-31,31,0.0,1134.2460656384756,1000.0,1.1342460656384756
P1,TEAM,2018-06-01,64.050003,65.43,63.259997999999996,64.010002,64.010002,1936700,2018-06-01,01,15.622558487031448,2138.157889823688,2000.0,1.069078944911844
P1,TEAM,2018-06-04,64.0,64.480003,62.549999,64.41999799999999,64.41999799999999,2181900,2018-06-04,04,0.0,2151.853189851895,2000.0,1.0759265949259476
P1,TEAM,2018-06-05,64.510002,66.894997,64.510002,66.66999799999999,66.66999799999999,1917100,2018-06-05,05,0.0,2227.011057400521,2000.0,1.1135055287002606
P1,TEAM,2018-06-06,67.099998,68.749001,66.559998,67.82,67.82,1964200,2018-06-06,06,0.0,2265.4251453990346,2000.0,1.1327125726995173
P1,TEAM,2018-06-07,68.0,68.0,62.450001,63.779999,63.779999,2148200,2018-06-07,07,0.0,2130.474985374894,2000.0,1.065237492687447
P1,TEAM,2018-06-08,64.0,64.730003,63.009997999999996,64.279999,64.279999,674000,2018-06-08,08,0.0,2147.176733719033,2000.0,1.0735883668595165
P1,TEAM,2018-06-11,64.540001,64.72399899999999,63.830002,64.349998,64.349998,694300,2018-06-11,11,0.0,2149.5149450837157,2000.0,1.0747574725418578
P1,TEAM,2018-06-12,64.400002,66.290001,64.349998,66.209999,66.209999,1230600,2018-06-12,12,0.0,2211.6454823274103,2000.0,1.1058227411637052
P1,TEAM,2018-06-13,66.300003,67.470001,65.521004,66.139999,66.139999,791600,2018-06-13,13,0.0,2209.307237559231,2000.0,1.1046536187796154
P1,TEAM,2018-06-14,66.639999,67.599998,66.08000200000001,66.489998,66.489998,966500,2018-06-14,14,0.0,2220.9984279966316,2000.0,1.1104992139983159
P1,TEAM,2018-06-15,66.279999,66.290001,65.220001,66.120003,66.120003,1125500,2018-06-15,15,0.0,2208.639301239452,2000.0,1.104319650619726
P1,TEAM,2018-06-18,65.800003,67.629997,65.425003,66.610001,66.610001,741400,2018-06-18,18,0.0,2225.006947809715,2000.0,1.1125034739048574
P1,TEAM,2018-06-19,65.589996,65.589996,63.220001,65.040001,65.040001,1301400,2018-06-19,19,0.0,2172.563458009118,2000.0,1.0862817290045592
P1,TEAM,2018-06-20,65.639999,66.126999,64.940002,65.529999,65.529999,801900,2018-06-20,20,0.0,2188.931104579381,2000.0,1.0944655522896904
P1,TEAM,2018-06-21,65.800003,65.970001,64.389999,65.589996,65.589996,934100,2018-06-21,21,0.0,2190.9352141701875,2000.0,1.0954676070850937
P1,TEAM,2018-06-22,65.510002,65.510002,62.610001000000004,64.190002,64.190002,2128200,2018-06-22,22,0.0,2144.170519227578,2000.0,1.072085259613789
P1,TEAM,2018-06-25,63.549999,63.939999,61.18,62.380001,62.380001,1055900,2018-06-25,25,0.0,2083.7101568182975,2000.0,1.0418550784091487
P1,TEAM,2018-06-26,62.869999,63.59,62.400002,63.25,63.25,1106400,2018-06-26,26,0.0,2112.771165533603,2000.0,1.0563855827668014
P1,TEAM,2018-06-27,63.369999,63.529999,60.75,60.75,60.75,685800,2018-06-27,27,0.0,2029.2624238129074,2000.0,1.0146312119064538
P1,TEAM,2018-06-28,60.689999,62.459998999999996,60.389998999999996,62.119999,62.119999,712900,2018-06-28,28,0.0,2075.025180872352,2000.0,1.037512590436176
P1,TEAM,2018-06-29,62.419998,63.209998999999996,62.09,62.52,62.52,532100,2018-06-29,29,0.0,2088.38661295116,2000.0,1.04419330647558
P1,TEAM,2018-07-02,62.029999,63.52,61.66,63.349998,63.349998,521800,2018-07-02,02,0.0,2116.1114483954375,2000.0,1.0580557241977187
P1,TEAM,2018-07-03,63.369999,64.25,62.59,62.98,62.98,490200,2018-07-03,03,0.0,2103.752221427768,2000.0,1.0518761107138839
P1,TEAM,2018-07-05,63.02,63.869999,62.5,63.400002,63.400002,1168300,2018-07-05,05,0.0,2117.781756843838,2000.0,1.058890878421919
P1,TEAM,2018-07-06,63.299999,65.400002,63.205002,65.230003,65.230003,591000,2018-07-06,06,0.0,2178.910189186884,2000.0,1.089455094593442
P1,TEAM,2018-07-09,65.739998,66.370003,63.610001000000004,64.779999,64.779999,728300,2018-07-09,09,0.0,2163.878482063172,2000.0,1.081939241031586
P1,TEAM,2018-07-10,64.889999,65.25,64.101997,64.699997,64.699997,534700,2018-07-10,10,0.0,2161.2061355211163,2000.0,1.080603067760558
P1,TEAM,2018-07-11,64.010002,65.599998,64.0,65.33000200000001,65.33000200000001,460500,2018-07-11,11,0.0,2182.2505054522157,2000.0,1.091125252726108
P1,TEAM,2018-07-12,65.610001,68.769997,65.339996,68.260002,68.260002,1439500,2018-07-12,12,0.0,2280.1227507488707,2000.0,1.1400613753744353
